SeniorCitizen,tenure,MonthlyCharges,gender_Male,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,Contract_One year,Contract_Two year,TotalCharges
0,1.4790920901577789,1.115583314013732,True,True,True,False,False,False,False,1.9854192937033563
0,-1.2747834096734858,0.17348581646628633,False,False,True,False,False,True,False,-0.971452189111872
0,-1.0692703126711527,-1.0714287338642667,True,False,False,False,False,True,False,-0.9290154029928315
0,-1.1103729320716191,1.4856930451930854,False,False,True,False,False,False,False,-0.7424703640112159
0,-0.9459624544697527,-0.8695506986755284,False,True,False,False,False,True,False,-0.8574033264169506
0,0.9447580379517125,-0.7013190026849131,False,False,False,False,False,False,False,0.07974236704519382
0,0.040500411141446584,-1.374245786647374,True,False,False,True,False,False,True,-0.6584808914839483
0,-0.4116284022636864,-0.3985019499018056,False,False,True,True,True,False,False,-0.48519734816453286
0,1.109168515553579,1.3511076884005933,False,False,True,False,True,True,False,1.777213811806814
1,-1.1925781708725525,0.24077849486253242,False,False,True,True,False,True,False,-0.9051447108008712
0,1.3968868513568455,-1.5088311434398662,False,False,True,True,True,False,False,-0.41225912202243203
0,-1.028167693270686,-1.239660429854882,False,False,False,False,False,False,False,-0.9316677021252715
1,0.2871161275442464,1.115583314013732,False,False,True,True,True,True,False,0.7162941588308014
0,-1.3158860290739525,-1.5088311434398662,False,False,True,True,False,False,False,-1.0249402216160792
0,-1.1103729320716191,-1.5424774826379894,True,False,True,False,True,False,False,-0.9811772859308188
1,-1.1514755514720858,0.6781809044381322,True,False,True,False,True,False,False,-0.8441418307547505
1,0.6159370827479795,1.7212174195799468,False,False,True,False,False,False,False,1.44832871938425
1,-0.5349362604650864,0.8127662612306243,True,False,True,False,True,False,False,-0.23853352884760995
0,-1.2336807902730191,-1.5424774826379894,False,False,True,True,True,False,True,-1.007700277255219
0,-0.32942316346275313,-1.5424774826379894,True,False,True,False,False,False,True,-0.8131983408762834
0,0.12270564994237985,-1.5761238218361124,False,True,True,True,False,False,True,-0.7318611674814558
0,1.6023999483591789,0.03890045967379411,True,True,False,True,True,False,True,1.0982252339021659
0,-0.6171414992660196,-1.5424774826379894,False,False,True,False,True,False,False,-0.8750853206332175
0,-1.1514755514720858,0.610888226041886,False,False,True,True,True,False,False,-0.8485623293088171
0,0.5337318439470462,-0.43214828909992864,False,False,True,False,False,True,False,0.04349427890184671
1,1.232476373754979,-1.0041360554680205,True,False,False,False,False,False,False,-0.03165419651728751
